OBJECTID,DEPARTAMEN,PROVINCIA,DISTRITO,CAPITAL,POBTOTAL,PPOBTOTAL,POBRURAL,PPOBRURAL,POBURBANA,PPOBURBAN,VIV_TOT,PVIVTOT,VIVRURAL,PVIVRUR,VIVURBANA,PVIVURBAN,INDIRURAL,PINDIRUR,AFRORURAL,PAFRORUR,INDIURBAN,PINDIURB,AFROURBAN,PAFROURB,PORURCNBI,PPORUCNBI,VIRURCNBI,PVIRUCNBI,HORURCNBI,PHORUCNBI,MURURCNBI,PMURUCNBI,INDRUCNBI,AFRRUCNBI,RESRUCNBI,PRUPRUNBI,TOTINDIGE,PPOBINDI,PINDRUNBI,TOTAFRO,PPOBAFRO,PAFRRUNBI,GID_3
1,HUANUCO,PUERTO INCA,CODO DEL POZUZO,CODO DEL POZUZO,7101,0.02,4699,66.17,2402,33.83,2508,0.02,1575,62.8,933,37.2,813,17.3,102,2.17,159,6.62,38,0.01,4252,90.49,1109,70.41,2417,0.13,1835,0.1,696,90,2053,90.49,972,13.69,85.61,140,1.97,88.24,PER.10.10.1_1
2,HUANUCO,PUERTO INCA,TOURNAVISTA,TOURNAVISTA,5447,0.02,5447,100,0,0,1705,0.02,1705,100,0,0,739,13.57,113,2.07,0,0,0,0,3496,64.18,897,52.61,1844,0.1,1652,0.09,518,81,1719,64.18,739,13.57,70.09,113,2.07,71.68,PER.10.10.4_1
3,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,ALEXANDER VON HUMBOLDT,5137,0.02,1283,24.98,3854,75.02,1856,0.02,476,25.65,1380,74.35,57,4.44,0,0,618,16.04,85,0.01,804,62.67,190,39.92,435,0.02,369,0.02,34,0,524,62.67,675,13.14,59.65,85,1.65,0,
4,UCAYALI,PADRE ABAD,IRAZOLA,SAN ALEJANDRO,10214,0.03,3761,36.82,6453,63.18,3837,0.04,1821,47.46,2016,52.54,792,21.06,89,2.37,748,11.59,120,0.02,2946,78.33,802,44.04,1588,0.09,1358,0.08,689,64,1145,78.33,1540,15.08,86.99,209,2.05,71.91,PER.26.3.2_1
5,UCAYALI,PADRE ABAD,NESHUYA,MONTE ALEGRE,7594,0.03,3873,51,3721,49,2356,0.02,1276,54.16,1080,45.84,489,12.63,27,0.7,226,6.07,65,0.01,2292,59.18,507,39.73,1186,0.06,1106,0.06,282,19,1121,59.18,715,9.42,57.67,92,1.21,70.37,
6,UCAYALI,PADRE ABAD,PADRE ABAD,AGUAYTIA,29440,0.1,6398,21.73,23042,78.27,11072,0.11,3282,29.64,7790,70.36,1350,21.1,89,1.39,4136,17.95,454,0.07,4527,70.76,1286,39.18,2435,0.13,2092,0.12,943,43,2051,70.76,5486,18.63,69.85,543,1.84,48.31,PER.26.3.3_1
7,UCAYALI,PADRE ABAD,CURIMANA,CURIMANA,7722,0.03,4124,53.41,3598,46.59,2403,0.02,1292,53.77,1111,46.23,81,1.96,70,1.7,209,5.81,88,0.01,2700,65.47,597,46.21,1454,0.08,1246,0.07,45,48,1625,65.47,290,3.76,55.56,158,2.05,68.57,PER.26.3.1_1
8,HUANUCO,PUERTO INCA,PUERTO INCA,PUERTO INCA,9407,0.03,4415,46.93,4992,53.07,3876,0.04,1594,41.12,2282,58.88,549,12.43,95,2.15,602,12.06,115,0.02,3284,74.38,765,47.99,1713,0.09,1571,0.09,384,85,1627,74.38,1151,12.24,69.95,210,2.23,89.47,PER.10.10.3_1
9,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,NUEVA REQUENA,5169,0.02,2680,51.85,2489,48.15,1323,0.01,691,52.23,632,47.77,141,5.26,0,0,43,1.73,24,0,2084,77.76,486,70.33,1109,0.06,975,0.05,111,0,1205,77.76,184,3.56,78.72,24,0.46,0,PER.26.2.5_1
10,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,CAMPO VERDE,16059,0.05,9624,59.93,6435,40.07,5981,0.06,4082,68.25,1899,31.75,279,2.9,356,3.7,418,6.5,138,0.02,6066,63.03,1460,35.77,3209,0.17,2857,0.16,154,220,3583,63.03,697,4.34,55.2,494,3.08,61.8,PER.26.2.2_1
11,LORETO,UCAYALI,CONTAMANA,CONTAMANA,23883,0.08,6454,27.02,17429,72.98,5940,0.06,1830,30.81,4110,69.19,2242,34.74,6,0.09,480,2.75,177,0.03,5301,82.14,1173,64.1,2727,0.15,2574,0.14,1868,4,1246,82.14,2722,11.4,83.32,183,0.77,66.67,PER.17.6.1_1
12,LA LIBERTAD,TRUJILLO,HUANCHACO,HUANCHACO,68409,0.23,577,0.84,67832,99.16,20206,0.2,277,1.37,19929,98.63,7,1.21,100,17.33,2478,3.65,5002,0.73,547,94.8,140,50.54,265,0.01,282,0.02,6,94,291,94.8,2485,3.63,85.71,5102,7.46,94,PER.13.11.3_1
13,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,SANTIAGO DE CAO,19204,0.07,502,2.61,18702,97.39,6272,0.06,350,5.58,5922,94.42,30,5.98,21,4.18,333,1.78,1232,0.18,354,70.52,109,31.14,177,0.01,177,0.01,12,9,282,70.52,363,1.89,40,1253,6.52,42.86,PER.13.1.7_1
14,LA LIBERTAD,TRUJILLO,SIMBAL,SIMBAL,4061,0.01,4061,100,0,0,1662,0.02,1662,100,0,0,14,0.34,225,5.54,0,0,0,0,1764,43.44,375,22.56,883,0.05,881,0.05,9,59,1140,43.44,14,0.34,64.29,225,5.54,26.22,PER.13.11.9_1
15,LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,MAGDALENA DE CAO,2463,0.01,2463,100,0,0,1034,0.01,1034,100,0,0,10,0.41,195,7.92,0,0,0,0,815,33.09,164,15.86,407,0.02,408,0.02,3,78,517,33.09,10,0.41,30,195,7.92,40,PER.13.1.4_1
16,LA LIBERTAD,ASCOPE,CHOCOPE,CHOCOPE,9321,0.03,1968,21.11,7353,78.89,2807,0.03,698,24.87,2109,75.13,6,0.3,176,8.94,111,1.51,549,0.08,980,49.8,251,35.96,490,0.03,490,0.03,3,60,698,49.8,117,1.26,50,725,7.78,34.09,PER.13.1.3_1
17,LA LIBERTAD,ASCOPE,PAIJAN,PAIJAN,25913,0.09,1476,5.7,24437,94.3,8047,0.08,639,7.94,7408,92.06,1,0.07,155,10.5,275,1.13,2254,0.33,877,59.42,214,33.49,421,0.02,456,0.03,1,77,558,59.42,276,1.07,100,2409,9.3,49.68,PER.13.1.5_1
18,LA LIBERTAD,OTUZCO,SINSICAP,SINSICAP,7032,0.02,4776,67.92,2256,32.08,3576,0.04,2104,58.84,1472,41.16,166,3.48,71,1.49,137,6.07,20,0,3120,65.33,774,36.79,1546,0.08,1574,0.09,102,31,1904,65.33,303,4.31,61.45,91,1.29,43.66,PER.13.6.9_1
19,LA LIBERTAD,ASCOPE,CHICAMA,CHICAMA,15267,0.05,1149,7.53,14118,92.47,5009,0.05,575,11.48,4434,88.52,11,0.96,144,12.53,198,1.4,1078,0.16,875,76.15,262,45.57,447,0.02,428,0.02,11,115,529,76.15,209,1.37,100,1222,8,79.86,PER.13.1.2_1
20,LA LIBERTAD,ASCOPE,RAZURI,PUERTO DE MALABRIGO,8664,0.03,2643,30.51,6021,69.49,3311,0.03,1055,31.86,2256,68.14,0,0,296,11.2,56,0.93,736,0.11,1794,67.88,446,42.27,921,0.05,873,0.05,0,203,1095,67.88,56,0.65,0,1032,11.91,68.58,PER.13.1.6_1
21,LA LIBERTAD,GRAN CHIMU,MARMOT,MARMOT /13,2407,0.01,2407,100,0,0,1111,0.01,1111,100,0,0,23,0.96,361,15,0,0,0,0,1053,43.75,237,21.33,541,0.03,512,0.03,1,163,543,43.75,23,0.96,4.35,361,15,45.15,PER.13.4.3_1
22,LA LIBERTAD,ASCOPE,ASCOPE,ASCOPE,6462,0.02,462,7.15,6000,92.85,2461,0.02,320,13,2141,87,0,0,19,4.11,58,0.97,272,0.04,228,49.35,56,17.5,116,0.01,112,0.01,0,7,168,49.35,58,0.9,0,291,4.5,36.84,PER.13.1.1_1
